"click_page_details_name","click_page_details_record","click_page_details_current_streak","click_page_details_age","click_page_details_dob","click_page_details_class","click_page_details_height","click_page_details_reach","click_page_details_last_fight","click_page_details_gym","click_page_details_gym_url","click_page_details_opponent_name","click_page_details_opponent_result","click_page_details_opponent_result_url","click_page_details_opponent_fight_date"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Christian Eckerlin","Loss · Rear Naked Choke · 2:55 · R1","https://www.tapology.com/fightcenter/bouts/615171-oktagon-29-christian-eckerlin-vs-john-greek-emperor-palaiologos","2021.12.04"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Jesse Urholin","Loss · Ground & Pound · 3:36 · R2","https://www.tapology.com/fightcenter/bouts/600794-cage-warriors-128-john-greek-emperor-palaiologos-vs-jesse-urholin","2021.10.01"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Mukhamed Berkhamov","Cancelled Bout","https://www.tapology.com/fightcenter/bouts/521662-bellator-milan-mukhamed-berkhamov-vs-john-greek-emperor-palaiologos","2020.09.26"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Konstantin Linnik","Win · Punches · 0:48 · R1","https://www.tapology.com/fightcenter/bouts/472554-cage-survivor-14-john-greek-emperor-palaiologos-vs-konstantin-linnik","2019.12.15"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Piotr Wawrzyniak","Win · Soccer Kick · 4:56 · R1","https://www.tapology.com/fightcenter/bouts/452353-armia-fight-night-7-piotr-wawrzyniak-vs-john-greek-emperor-palaiologos","2019.10.05"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Maxim Soroka","Win · Punches · 0:35 · R1","https://www.tapology.com/fightcenter/bouts/419842-cage-survivor-13-john-greek-emperor-palaiologos-vs-maxim-soroka","2019.04.07"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Tomasz Jakubiec","Loss · Decision · Unanimous","https://www.tapology.com/fightcenter/bouts/393282-armia-fight-night-4-tomasz-jakubiec-vs-john-greek-emperor-palaiologos","2018.11.24"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Zoran Đođ","Win · Ground & Pound · 2:56 · R1","https://www.tapology.com/fightcenter/bouts/364939-cage-survivor-john-greek-emperor-palaiologos-vs-zoran-dod","2018.04.29"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Christiano Mareira","Draw · Decision","https://www.tapology.com/fightcenter/bouts/343281-submissionism-2-christiano-mareira-vs-john-greek-emperor-palaiologos","2017.12.23"
"John Palaiologos","18-11-1 (Win-Loss-Draw)","2 Losses","34","1987.08.19","Welterweight","6'2"" (188cm)","N/A","December 04, 2021","EFL Martial Arts Academy","https://www.tapology.com/gyms/4110-efl-martial-arts-academy","Nikos Mermigkas","Loss · Punch · 0:29 · R1","https://www.tapology.com/fightcenter/bouts/335016-mma-challenge-pro-7-john-greek-emperor-palaiologos-vs-nikos-mermigkas","2017.11.04"
